assay_id,pdb_id,pubmed_id
1795774,2IH1,17095703
1795771,2IH3,17095703
1801206,2ZUQ,19214188
1812573,2ITC,17472437
1812574,2ITD,17472437
1812575,2NLJ,17472437
1812580,2HJF,17070844
1812174,1K4C,11689936
1812188,1K4D,11689936
1812368,1S5H,15099749
1801490,2KH2,19776018
1813237,3CX5,18390544
1813239,3CXH,18390544
1813225,2P44,18445622
1633969,1KCS,11859128
1835627,2QSC,18068724
1835383,3GHE,19913488
1835560,3FN0,19515770
1835860,3DRT,19754136
1835864,3EGS,19754136
1638731,2IPU,17895381
1637582,1QFW,10373373
1813226,2P45,18445622
1813229,2P46,18445622
1813230,2P47,18445622
1831619,3IXX,19713934
1835778,1E4W,11718562
1833559,2HFG,16840730
1831632,3IXY,19713934
1835752,1E4X,11718562
14757,1EO8,10899782
1639134,3BKJ,18237744
1639135,3BAE,18237744
1636349,3CXD,18694758
1649935,1FE8,11098050
312,1OAY,12610298
165,1XIW,15534202
1004360,1NMA,7517697
1658277,3FMG,19520960
965,1BZQ,10196124
1653777,2FJH,16373345
2867001,5E1A,27432996
1831823,2YBR,21489992
1846596,3P0G,21228869
1848175,3BPC,18272175
1636121,2G5B,16946732
1480150,2H1P,9417940
1674327,1OAX,14500876
1706947,2FD6,16456079
1706948,2BDN,16682434
1849851,3PHQ,21543444
1849842,3PHO,21543444
1838812,3PGF,21378967
1841644,1AFV,8784350
1841603,1GC1,9641677
1785959,1G7L,11112523
1785960,1G7M,11112523
1475026,2Q8B,17907804
1475702,2Q8A,17907804
1787337,1JTO,11676532
1861896,3ZTJ,21798894
1852486,3OKD,21405106
1852487,3OKK,21405106
1852488,3OKE,21405106
1852491,3OKO,21405106
1852489,3OKL,21405106
1852490,3OKN,21405106
1475256,2QHR,18005986
1795807,1JTO,11676532
1795808,1JTP,11676532
1786883,3HZY,20000757
1786884,3I02,20000757
1786887,3HZV,20000757
1789602,1RJC,15659390
1813222,2P43,18445622
1813215,2P42,18445622
1813231,2P48,18445622
1801410,1DVF,8950273
1805473,3EHB,18930738
1805463,3HB3,19374884
1811839,3EFD,19346472
14758,1QFU,10899782
24311,1OB1,12729744
1004248,2AEP,16384583
1212758,1TET,7690406
2019377,4MWF,24288331
310,1OAU,12610298
1275783,2VIR,9461077
1984,1N8Z,12610629
2857950,5KEN,27562261
2857935,5KEL,27562261
1803592,3LIZ,21123808
1816223,3KJ6,20054398
1815659,3B9K,18929574
1807431,2R2H,18272175
1807434,2R23,18272175
1807223,2R2B,18272175
1822931,2R1X,18272175
1822933,2R1Y,18272175
1835628,3C2A,18566514
1835619,1TZG,15723805
1835377,3GHB,19913488
2211,1NL0,14722079
378,1YJD,15696168
1482524,2BMK,16790434
1243426,1ZTX,16193056
1270936,2DD8,16597622
3063871,5H37,27882950
3110134,5U68,28134915
32,1H0D,12842050
1275787,1NMC,9642070
31,1C08,10488102
1278340,1CU4,10543972
1418717,2J88,17374540
1634910,2A6I,16618601
1634911,2A6D,16618601
1835247,3LQA,20357769
1834377,2X7L,20231488
1834450,3C09,18394559
1786251,3D9A,19781789
1786277,1P2C,14988501
1792334,1XGR,15698573
1792335,1XGU,15698573
1640123,2AP2,10570132
1481641,2FL5,16537445
1482338,2DDQ,16603628
1336642,1Z3G,16327807
462,1BGX,9770525
375,2JEL,9671553
1246572,1YNT,16242717
1919,1SQ2,15319492
871,1AHW,9480775
14243,1IFH,8263915
1634912,2A6K,16618601
1708885,1CLZ,7664109
1708884,1CLY,7664109
1764237,1FDL,1712773
1771925,1KIR,8952503
1840782,2CMR,16862157
1828509,1F90,11468348
1831824,2YC1,21489992
1835630,2B1A,16731948
1835631,2B0S,16731948
1841713,2B1H,16731948
1848465,2OQJ,18198210
4609,1PZ5,14645714
4737,1MFE,1713710
1004385,1HIM,1546293
377,1EGJ,10753826
1789603,1RI8,15659390
3110155,5TLJ,28119207
3110157,5TLJ,28119207
3110162,5TLK,28119207
1974432,3V4P,22232704
1976386,2X89,21220305
1975974,3P9W,23507309
1813253,2QQK,17989695
1813256,2QQL,17989695
1811877,1ORQ,12721618
1818220,2VXS,19835883
1817555,3G6D,19361524
1927762,2CJU,16682055
1927710,3LH2,20826338
1927711,3LHP,20826338
1822612,3L5X,20226193
1819645,3DVN,18724939
1823136,1PG7,12888350
1838721,2HMI,9837729
1800910,2H8P,16939283
1800936,2HFE,16939283
1904247,3CSY,18615077
1959744,4ERS,22908259
1953433,2Z8V,17997971
1953434,2Z8W,17997971
1959773,4GMS,23027945
1983357,3ZDY,23798730
1983358,3ZDZ,23798730
1983359,3ZE0,23798730
1983360,3ZE1,23798730
1983361,3ZE2,23798730
1984219,3J42,23740974
1985239,4HEM,23530214
1985240,4IOS,23530214
1940209,3UYP,22285214
1953155,3GKZ,19760665
1953156,3GM0,19760665
1953754,3STB,22039098
1965248,3SQO,22019884
2605317,5BO1,26580007
2605454,4V1D,26589800
2605453,4V1D,26589800
2605555,5DUM,26635249
2605557,5DUR,26635249
2605556,5DUP,26635249
2621138,4XWG,26195816
1848535,3QG6,21454495
1839014,1U8M,19740978
1838987,1U8J,19740978
1839002,1U8L,19740978
1839015,1U8N,19740978
1839016,1U8O,19740978
2007228,4LSP,23911655
1854070,3OGO,20945358
1859848,3HPL,20613845
1859923,3FB7,20613845
1965482,4GXU,23236279
1969717,4I3S,23236069
1969720,4I3R,23236069
1970272,3RU8,22021856
1899239,1X9Q,15465055
1884689,1I7Z,11469854
1884806,1H8S,11397088
1815556,2D03,16204891
1815526,1T2Q,16204891
1842129,1OP3,12829775
1849727,3QCU,21392506
1839017,1U8P,19740978
1966733,4GLR,23148212
1969731,1QD0,10684599
2007331,4LSQ,23911655
2007332,4LSR,23911655
2012364,4LDL,24056936
2012365,4LDO,24056936
2024019,3LS4,20630472
1970943,3EBA,19010777
1971359,3V6Z,23219881
1969125,4DKE,22483114
1969121,4DKF,22483114
1966476,3ULU,22579623
1966591,3ULU,22579623
1966592,3ULU,22579623
1903836,1NC2,14653738
1903838,1NC4,14653738
1903832,2JB5,18241888
1903833,2JB6,18241888
1849729,3QCV,21392506
1850112,1BFV,9261086
1984683,2FR4,18028946
1990292,4H88,23903654
2006133,2OK0,17512945
1983315,4D9R,22362762
2004659,3K1K,20010839
2024571,4C2I,24421336
2024568,4KFZ,24407558
1980677,1MCB,8346191
1980680,1MCC,8346191
1980681,1MCD,8346191
1980682,1MCE,8346191
1980683,1MCH,8346191
1980684,1MCI,8346191
1904242,3BD3,18338383
1904243,3BD5,18338383
1904244,3BD4,18338383
1904482,3FO9,19968282
1903005,1MJJ,12948492
1865104,3IF1,20479270
1928123,3CVH,18703505
1850148,2NXY,17301785
1850149,2NXZ,17301785
1850150,2NY0,17301785
1850151,2NY1,17301785
1850152,2NY2,17301785
1850153,2NY3,17301785
1850154,2NY4,17301785
2004660,3G9A,20010839
1967614,3V0W,23184990
1976154,4HS6,23458406
1976155,4HS8,23458406
1977781,4HLZ,23552413
1979309,4HZL,23589879
1979575,4F37,23609990
1980011,2GSI,23473830
2857955,5KEN,27562261
1823567,3G6J,19196712
1811879,1ORS,12721618
1811743,2OZ4,17881562
1853386,3OGC,21402935
1852787,3OR7,21186363
1852790,3OR6,21186363
1866371,3KR3,20515953
1866380,3GRW,19381019
1850155,2NY5,17301785
1850156,2NY6,17301785
2000480,4LMQ,23812669
1989746,4G3Y,23504311
1838980,1U8Q,19740978
1839019,1U91,19740978
1839018,1U92,19740978
1839020,1U93,19740978
1838981,1U95,19740978
1838975,2F5B,19740978
1861049,3K81,20969962
2004875,4JG0,23955275
2015710,4MQT,24256733
1963826,4HKX,23175789
1850116,2BFV,9261086
1850117,1CFV,9261086
1850185,1JNN,11812141
1850190,1JNH,11812141
1899153,1MRF,7523684
1899154,1MRE,7523684
1899155,1MRD,7523684
1882549,3I9G,19815502
1838720,2P8L,18824005
1838722,3D0V,18824005
1859705,2XWT,21247981
2018894,4LF3,24189067
2004876,4JFZ,23955275
2004877,4JFX,23955275
1903109,1MH5,12948492
1903110,1MJ7,12948492
1917087,1NAK,14592768
1911199,1E6J,11080628
1915585,1F58,10368281
1915588,1GGI,8327513
1911158,2B4C,16284180
1838723,2P8P,18824005
1838724,2P8M,18824005
1838725,3DRO,18824005
1838726,3D0L,18824005
1838727,3DRQ,18824005
1982059,4F9L,22846996
1982061,4F9P,22846996
1974072,4HFU,23396351
1974073,4HG4,23396351
1974075,4HF5,23396351
1984771,3QSK,21766385
2004455,4IOF,23922390
1989465,3SOB,21944579
2004632,4K3J,23882082
1917096,1YYL,15893666
1917111,1YYM,15893666
1917078,3JWD,20080564
1917079,3JWO,20080564
1937642,3VE0,22590681
1985953,3S35,21827946
1985954,3S37,21827946
1985955,3S36,21827946
1917115,3NGB,20616231
1917080,3MNW,21076400
1922177,3OAY,20852065
1922189,3OAZ,20852065
1922190,3OB0,20852065
1927563,3MAC,21085615
1927564,3MA9,21085615
1928052,1NGX,12552112
1977823,4JPV,23540694
1977831,4JPW,23540694
1979281,4JDT,23524883
1786626,1WC7,15805602
1786631,3T77,14625588
